id,rodada,mandante,visitante,placar,vencedor,estadio,visitante_estado,ano
1,1,Guarani,Vasco,4x2,Guarani, Brinco de Ouro,RJ,2003
2,1,Athletico-PR,Gremio,2x0,Athletico-PR, Arena da Baixada,RS,2003
3,1,Flamengo,Coritiba,1x1,Empate, Maracanã,PR,2003
4,1,Goias,Paysandu,2x2,Empate, Serra Dourada,PA,2003
5,1,Internacional,Ponte Preta,1x1,Empate, Beira Rio,SP,2003
6,1,Criciuma,Fluminense,2x0,Criciuma, Heriberto Hulse,RJ,2003
7,1,Juventude,Sao Paulo,2x2,Empate, Alfredo Jaconi,SP,2003
8,1,Fortaleza,Bahia,0x0,Empate, Castelão,BA,2003
9,1,Cruzeiro,Sao Caetano,2x2,Empate, Mineirão,SP,2003
10,1,Vitoria,Figueirense,1x1,Empate, Barradão,SC,2003
11,1,Santos,Parana,2x2,Empate, Vila Belmiro,PR,2003
12,1,Corinthians,Atletico-MG,0x3,Atletico-MG, Pacaembu,MG,2003
13,2,Fluminense,Fortaleza,1x1,Empate, Maracanã,CE,2003
14,2,Atletico-MG,Santos,0x0,Empate, Mineirão,SP,2003
15,2,Coritiba,Internacional,0x1,Internacional, Couto Pereira,RS,2003
16,2,Gremio,Guarani,3x1,Gremio, Olímpico,SP,2003
17,2,Bahia,Flamengo,1x2,Flamengo, Fonte Nova,RJ,2003
18,2,Figueirense,Corinthians,3x3,Empate, Orlando Scarpelli,SP,2003
19,2,Paysandu,Vitoria,1x2,Vitoria, Mangueirão,BA,2003
20,2,Ponte Preta,Juventude,1x0,Ponte Preta, Moisés Lucarelli,RS,2003
21,2,Parana,Athletico-PR,3x0,Parana, Pinheirão,PR,2003
22,2,Sao Caetano,Criciuma,3x2,Sao Caetano, Anacleto Campanella,SC,2003
23,2,Sao Paulo,Cruzeiro,2x4,Cruzeiro, Morumbi,MG,2003
24,2,Vasco,Goias,6x4,Vasco, São Januário,GO,2003
25,4,Paysandu,Santos,2x1,Paysandu, Mangueirão,SP,2003
37,3,Internacional,Bahia,2x0,Internacional, Beira Rio,BA,2003
38,3,Santos,Figueirense,2x0,Santos, Vila Belmiro,SC,2003
39,3,Athletico-PR,Atletico-MG,1x2,Atletico-MG, Arena da Baixada,MG,2003
40,3,Corinthians,Paysandu,6x1,Corinthians, Pacaembu,PA,2003
41,3,Vitoria,Vasco,2x1,Vitoria, Barradão,RJ,2003
42,3,Criciuma,Sao Paulo,1x1,Empate, Heriberto Hulse,SP,2003
43,3,Fortaleza,Sao Caetano,1x1,Empate, Presidente Vargas,SP,2003
44,3,Juventude,Coritiba,2x1,Juventude, Alfredo Jaconi,PR,2003
45,3,Guarani,Parana,2x0,Guarani, Brinco de Ouro,PR,2003
46,3,Goias,Gremio,1x1,Empate, Serra Dourada,RS,2003
47,3,Cruzeiro,Ponte Preta,3x0,Cruzeiro, Mineirão,SP,2003
48,3,Flamengo,Fluminense,4x1,Flamengo, Maracanã,RJ,2003
26,4,Bahia,Juventude,3x1,Bahia, Fonte Nova,RS,2003
27,4,Gremio,Vitoria,2x1,Gremio, Olímpico,BA,2003
28,4,Atletico-MG,Guarani,3x2,Atletico-MG, Mineirão,SP,2003
29,4,Figueirense,Athletico-PR,1x1,Empate, Orlando Scarpelli,PR,2003
30,4,Ponte Preta,Criciuma,1x1,Empate, Moisés Lucarelli,SC,2003
31,4,Sao Caetano,Flamengo,1x1,Empate, Anacleto Campanella,RJ,2003
32,4,Vasco,Corinthians,2x2,Empate, São Januário,SP,2003
33,4,Coritiba,Cruzeiro,3x4,Cruzeiro, Couto Pereira,MG,2003
34,4,Fluminense,Internacional,3x1,Fluminense, Maracanã,RS,2003
35,4,Sao Paulo,Fortaleza,3x1,Sao Paulo, Morumbi,CE,2003
36,4,Parana,Goias,3x1,Parana, Pinheirão,GO,2003
144,12,Flamengo,Cruzeiro,3x0,Flamengo, Maracanã,MG,2003
49,5,Bahia,Atletico-MG,2x4,Atletico-MG, Fonte Nova,MG,2003
50,5,Sao Caetano,Gremio,1x1,Empate, Anacleto Campanella,RS,2003
51,5,Flamengo,Santos,0x2,Santos, Maracanã,SP,2003
52,5,Sao Paulo,Vasco,3x1,Sao Paulo, Morumbi,RJ,2003
53,5,Internacional,Corinthians,2x1,Internacional, Beira Rio,SP,2003
54,5,Criciuma,Guarani,1x0,Criciuma, Heriberto Hulse,SP,2003
55,5,Juventude,Vitoria,1x1,Empate, Alfredo Jaconi,BA,2003
56,5,Fortaleza,Athletico-PR,1x0,Fortaleza, Presidente Vargas,PR,2003
57,5,Ponte Preta,Paysandu,4x4,Empate, Moisés Lucarelli,PA,2003
58,5,Cruzeiro,Goias,4x1,Cruzeiro, Mineirão,GO,2003
59,5,Fluminense,Parana,0x0,Empate, Maracanã,PR,2003
60,5,Coritiba,Figueirense,1x0,Coritiba, Couto Pereira,SC,2003
61,6,Atletico-MG,Coritiba,1x2,Coritiba, Mineirão,PR,2003
62,6,Parana,Bahia,3x1,Parana, Pinheirão,BA,2003
63,6,Vitoria,Internacional,0x3,Internacional, Barradão,RS,2003
64,6,Guarani,Cruzeiro,1x1,Empate, Brinco de Ouro,MG,2003
65,6,Corinthians,Flamengo,1x1,Empate, Pacaembu,RJ,2003
66,6,Goias,Juventude,7x0,Goias, Serra Dourada,RS,2003
67,6,Figueirense,Ponte Preta,0x0,Empate, Orlando Scarpelli,SP,2003
68,6,Santos,Fortaleza,4x0,Santos, Vila Belmiro,CE,2003
69,6,Gremio,Fluminense,0x1,Fluminense, Olímpico,RJ,2003
70,6,Athletico-PR,Criciuma,4x2,Athletico-PR, Arena da Baixada,SC,2003
71,6,Paysandu,Sao Paulo,5x2,Paysandu, Mangueirão,SP,2003
72,6,Vasco,Sao Caetano,1x0,Vasco, São Januário,SP,2003
73,7,Flamengo,Vitoria,2x1,Flamengo, Maracanã,BA,2003
74,7,Bahia,Gremio,2x1,Bahia, Fonte Nova,RS,2003
75,7,Cruzeiro,Athletico-PR,5x2,Cruzeiro, Mineirão,PR,2003
76,7,Fortaleza,Corinthians,1x2,Corinthians, Castelão,SP,2003
77,7,Sao Paulo,Figueirense,3x2,Sao Paulo, Morumbi,SC,2003
78,7,Sao Caetano,Paysandu,2x0,Sao Caetano, Anacleto Campanella,PA,2003
79,7,Internacional,Goias,2x1,Internacional, Beira Rio,GO,2003
80,7,Ponte Preta,Atletico-MG,2x1,Ponte Preta, Moisés Lucarelli,MG,2003
81,7,Juventude,Guarani,1x1,Empate, Alfredo Jaconi,SP,2003
82,7,Coritiba,Parana,2x1,Coritiba, Couto Pereira,PR,2003
83,7,Criciuma,Santos,1x3,Santos, Heriberto Hulse,SP,2003
84,7,Fluminense,Vasco,0x0,Empate, Maracanã,RJ,2003
85,8,Goias,Flamengo,1x1,Empate, Serra Dourada,RJ,2003
86,8,Santos,Cruzeiro,0x2,Cruzeiro, Vila Belmiro,MG,2003
87,8,Parana,Ponte Preta,3x2,Parana, Pinheirão,SP,2003
88,8,Corinthians,Criciuma,3x0,Corinthians, Pacaembu,SC,2003
89,8,Vasco,Bahia,1x1,Empate, São Januário,BA,2003
90,8,Paysandu,Fluminense,2x2,Empate, Mangueirão,RJ,2003
91,8,Atletico-MG,Sao Paulo,2x2,Empate, Mineirão,SP,2003
92,8,Vitoria,Fortaleza,2x1,Vitoria, Barradão,CE,2003
93,8,Guarani,Internacional,3x0,Guarani, Brinco de Ouro,RS,2003
94,8,Athletico-PR,Juventude,2x0,Athletico-PR, Arena da Baixada,RS,2003
95,8,Figueirense,Sao Caetano,3x0,Figueirense, Orlando Scarpelli,SP,2003
96,8,Gremio,Coritiba,1x0,Gremio, Olímpico,PR,2003
97,9,Fluminense,Figueirense,3x0,Fluminense, Maracanã,SC,2003
98,9,Sao Caetano,Atletico-MG,2x0,Sao Caetano, Anacleto Campanella,MG,2003
99,9,Juventude,Santos,1x1,Empate, Alfredo Jaconi,SP,2003
100,9,Bahia,Paysandu,2x0,Bahia, Fonte Nova,PA,2003
